,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1,숭실대학교,Soongsil University,A,General,Seoul,건축학과,Architecture,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,English 100%,TOPIK 3 or above,March or September,,
2,2,숭실대학교,Soongsil University,A,General,Seoul,경영학과,Business Administration,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://gradeng.ssu.ac.kr/,
3,3,숭실대학교,Soongsil University,A,General,Seoul,국어국문학과,Korean Language and Literature,인문,Humanities,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,,
4,4,숭실대학교,Soongsil University,A,General,Seoul,글로벌법률학과,Global Law,사회,Social Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,,
5,5,숭실대학교,Soongsil University,A,General,Seoul,금융기술융합학과,"Financial Technology
 Convergence",공학,Engineering,X,,,,O,Korean 100%,TOPIK 3 or above,March or September,finance.ssu.ac.kr,
6,6,숭실대학교,Soongsil University,A,General,Seoul,금융학과,Finance,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,finance.ssu.ac.kr,
7,7,숭실대학교,Soongsil University,A,General,Seoul,기독교학과,Christian Studies,인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://docs.ssu.ac.kr/%eb%8c%80%ed%95%99%ec%9b%90/%eb%8c%80%ed%95%99%ec%9b%90-%ec%86%8c%ea%b0%9c/,
8,8,숭실대학교,Soongsil University,A,General,Seoul,무역학과,"International 
Trade",사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://gtrade.ssu.ac.kr/,
9,9,숭실대학교,Soongsil University,A,General,Seoul,문예창작,Creative Writing,인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,,
10,10,숭실대학교,Soongsil University,A,General,Seoul,미디어학과,Digital Media,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,http://media.ssu.ac.kr/,
